geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,4.37,4.33,4.34,4.38,4.32,4.3,4.26,4.21,4.12,4.15,4.15,4.15,4.07,4.18,4.34,4.45,4.57,4.7,4.85,5.03,5.15,5.2,5.24,5.35,5.42,5.55,5.55,5.6,5.58,5.69,5.84,6.22,6.03,6.09
ago,Angola,3.8,3.73,3.68,3.7,3.72,3.6,3.27,3.18,3.4,3.49,3.48,3.55,3.6,3.62,3.66,3.72,3.99,4.15,4.32,4.49,4.62,4.75,4.82,5.03,5.28,5.26,5.02,4.86,4.82,4.87,4.83,5.06,5.62,5.98
alb,Albania,6.94,6.93,6.97,7.03,7.16,7.13,7.16,7.19,7.27,7.32,7.47,7.59,7.78,7.97,8.02,8.13,8.22,8.22,8.33,8.39,8.38,8.23,8.27,8.42,8.64,8.87,9.02,9.18,9.2,9.41,9.28,9.4,9.77,9.32
and,Andorra,32.09,32.22,32.54,33.29,34.08,35.47,37.07,38.25,39.13,39.66,40.31,40.97,41.73,41.68,41.8,41.94,41.99,42.05,41.89,41.49,41.49,41.3,41.38,41.59,41.6,41.55,41.64,41.53,41.75,42.18,41.8,43.13,44.49,44.82
are,UAE,28.1,27.4,26.44,26.24,25.77,24.43,23.75,23.68,24.5,24.68,25.9,25.86,24.51,23.53,24.29,25.05,23.94,24.21,23.11,21.84,20.57,19.52,18.48,18.12,17.85,17.08,16.57,16.57,16.84,18.13,18.73,18.91,18.08,18.6
arg,Argentina,22.93,22.88,23.08,23.47,23.67,23.86,24.04,24.46,25.16,25.8,25.36,25.41,25.55,25.94,25.7,26.02,25.62,26.28,25.91,25.39,25.83,25.4,25.31,25.51,25.26,24.98,25.39,24.46,24.03,24.34,23.39,25.04,26.95,25.33
arm,Armenia,15.75,16.7,16.74,15.64,14.23,14.51,14.22,14.19,14.44,14.84,15.1,14.86,15.66,16.62,16.82,16.39,16.49,16.16,15.47,15.27,15.85,17.35,17.8,17.37,16.83,16.28,15.92,16.42,15.93,15.64,15.01,14.35,15.15,12.81
atg,Antigua and Barbuda,22.91,23.06,22.33,22.62,23.08,24.28,24.51,23.55,23.91,23.55,23.9,24.05,25.04,25.15,24.86,24.22,24.06,23.69,23.35,23.77,23.63,24.02,24.35,24.85,24.36,24.4,25.07,25.5,25.89,26.75,26.37,25.1,26,27.46
aus,Australia,43.44,43.25,43.81,44.46,45.27,45.48,46.62,46.99,47.53,46.51,46.16,46.32,46.44,45.79,44.92,44.09,43.83,44.94,46.02,44.06,42.78,41.84,40.73,39.94,39.49,39.65,37.79,36.41,36.19,35.28,34.42,34.91,35.03,34.34
aut,Austria,36.19,36.35,35.93,36.48,36.43,37.35,36.73,36.39,37,37.7,37.03,35.98,35.19,35.38,34.6,34.31,33.98,32.83,32.12,31.7,32.04,31.11,30.98,30.35,29.64,28.33,27.47,27.36,27.02,26.74,26.75,26.61,27.4,26.96
aze,Azerbaijan,9.08,9.03,9.15,9.18,9,8.74,8.43,8.12,7.88,7.76,7.59,7.43,7.51,7.73,7.91,8.13,8.48,8.74,9.01,9.19,9.28,9.26,9.24,9.28,9.33,9.29,9.34,9.34,9.36,9.9,10.58,10.49,8.65,8.68
bdi,Burundi,5.47,5.31,5.2,5.11,4.95,4.82,4.7,4.6,4.45,4.36,4.34,4.29,4.27,4.24,4.37,4.53,4.69,4.92,5.2,5.33,5.45,5.66,5.87,5.95,6.09,6.26,6.35,6.49,6.53,6.67,6.63,7.32,7.41,7.87
bel,Belgium,40.08,40.35,40.45,40.23,40.7,39.8,40.45,39.89,39.56,38.59,36.48,36.36,37.1,37.26,36.87,36.61,36.45,36.6,36.57,36.68,34.75,34.46,35.17,34.57,33.59,33.26,32.69,32.29,31.54,30.88,30,29.59,31.51,30.45
